Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.4294466,0.0012485,0.0380234,0,0,0,1344.5600138,488.87838,-1.5516108,-14.9719563,896.834612,-0.0436094,1351.9933489,0,0,0,0,0,0,package://excavator_six_wheels/meshes/base_link.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://excavator_six_wheels/meshes/base_link.STL,,chasis-1;leveler-2;cylinder-1;piston-1;pin 4-1;pin 5-1;pin 6-1;pin 6-2;Belt3-1^assembly-1;belt drive-1;pin 8-2;belt drive-4;pin 7-1;Belt4-2^assembly-1;pin 8-1;belt drive-2;belt drive-3;pin 7-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
body_yaw_link,0.059888,-0.0279846,0.310737,0,0,0,15120.6382761,5306.8842701,534.6037913,123.0400587,7722.9004147,49.3613714,9448.3819272,0,0,0,0,0,0,package://excavator_six_wheels/meshes/body_yaw_link.STL,1,0.94902,0.9098,1,0,0,0,0,0,0,package://excavator_six_wheels/meshes/body_yaw_link.STL,,base-2;link-3;hinge piston-1;pin 2-1;pin 3-1;base pin-1;glass-1;side glass-2;side glass-3;cabin-1;door glass-1;door glass 1-1;extinguisher-1;lights-1;lights-2;door pin-1;door pin-2;door-1;hinge cylinder-1,body_yaw_joint,A_body_yaw_joint,body_yaw_joint,continuous,0,0,0.36323,0,0,0,base_link,0,0,1,,,,,,,,,,,,
boom_pitch_link,0.4173408,-1.1341658,-0.0415453,0,0,0,724.9528599,282.0599045,118.3342235,0.0157727,101.1092455,-0.2015522,371.1804289,0,0,0,0,0,0,package://excavator_six_wheels/meshes/boom_pitch_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://excavator_six_wheels/meshes/boom_pitch_link.STL,,Arm 2.SLDBLK-1;arm2 cylinder-1;arm2 piston-1;arm 2 pin-2;arm 2 pin-3;arm 2 pin-4;pin 1-1;arms piston-1;arms cylinder-1,boom_pitch_joint,A_boom_pitch_joint,boom_pitch_joint,revolute,1.5882,0.039526,0.36333,-1.5708,0,0,body_yaw_link,0,0,1,0,0,0,1.3703,,,,,,,,
forearm_pitch_link,0.3521181,-0.2255539,-0.328097,0,0,0,640.9527498,17.2472302,14.7010027,-0.0567428,203.3293746,-0.0303271,211.0722199,0,0,0,0,0,0,package://excavator_six_wheels/meshes/forearm_pitch_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://excavator_six_wheels/meshes/forearm_pitch_link.STL,,Arm 1.SLDBLK-1;piston bucket-1;cylinder bucket-1;arm 1 pin-1;arm 1 pin-2;arm 2 pin-1,forearm_pitch_joint,A_forearm_pitch_joint,forearm_pitch_joint,revolute,1.4233,-2.0381,0.28664,0,0,0,boom_pitch_link,0,0,1,0,0,0,0.89604,,,,,,,,
bucket_pitch_link,0.1222283,-0.3650323,-0.6245809,0,0,0,643.2329046,70.6614633,9.1064215,0.1324507,141.5186677,-0.0280834,146.0667006,0,0,0,0,0,0,package://excavator_six_wheels/meshes/bucket_pitch_link.STL,1,0.94902,0.9098,1,0,0,0,0,0,0,package://excavator_six_wheels/meshes/bucket_pitch_link.STL,,Bucket.SLDBLK-1;Hinge 1.SLDBLK-1;Hinge 2.SLDBLK-1;Hinge 2.SLDBLK-2;hinge pin-1;hinge pin-2;bucket pin-2;bucket pin-1;hinge pin-3,bucket_pitch_joint,A_bucket_pitch_joint,bucket_pitch_joint,revolute,1.4765,-0.24997,0.29735,0,0,0,forearm_pitch_link,0,0,1,0,0,0,2.2837,,,,,,,,
left_wheel_link,0,0,0,0,0,0,80.8643451,2.0389608,0,0,2.0389608,2.47E-05,2.4269412,0,0,0,0,0,0,package://excavator_six_wheels/meshes/left_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://excavator_six_wheels/meshes/left_wheel_link.STL,,virtual_wheel-1,left_wheel_joint,A_left_wheel_joint,left_wheel_joint,continuous,-0.029784,1.1184,0,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
right_wheel_link,0,0,0,0,0,0,80.8643451,2.0389608,0,0,2.0389608,2.47E-05,2.4269412,0,0,0,0,0,0,package://excavator_six_wheels/meshes/right_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://excavator_six_wheels/meshes/right_wheel_link.STL,,virtual_wheel-2,right_wheel_joint,A_right_wheel_joint,right_wheel_joint,continuous,-0.029784,-1.1174,0,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
left_front_wheel_link,0,0,0,0,0,0,80.8643451,2.0389608,0,0,2.0389608,2.47E-05,2.4269412,0,0,0,0,0,0,package://excavator_six_wheels/meshes/left_front_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://excavator_six_wheels/meshes/left_front_wheel_link.STL,,virtual_wheel-4,left_front_wheel_joint,A_left_front_wheel_joint,left_front_wheel_joint,continuous,0.90862,1.1184,0,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
left_behind_wheel_link,0,0,0,0,0,0,80.8643451,2.0389608,0,0,2.0389608,2.47E-05,2.4269412,0,0,0,0,0,0,package://excavator_six_wheels/meshes/left_behind_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://excavator_six_wheels/meshes/left_behind_wheel_link.STL,,virtual_wheel-6,left_behind_wheel_joint,A_left_behind_wheel_joint,left_behind_wheel_joint,continuous,-0.96819,1.1184,0,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
right_front_wheel_link,0,0,0,0,0,0,80.8643451,2.0389608,0,0,2.0389608,2.47E-05,2.4269412,0,0,0,0,0,0,package://excavator_six_wheels/meshes/right_front_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://excavator_six_wheels/meshes/right_front_wheel_link.STL,,virtual_wheel-7,right_front_wheel_joint,A_right_front_wheel_joint,right_front_wheel_joint,continuous,0.90862,-1.1179,0,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
